municipality_code,geographic_level,state_abbreviation,municipality_name,land_use_purpose,income_bracket,association_status,number_of_agricultural_establishments,total_area_in_hectares
1507979,7,PA,Terra Santa,Total,Total,Total,572,39307.0
1508001,7,PA,Tomé-Açu,Total,Total,Total,3050,240377.0
1508035,7,PA,Tracuateua,Total,Total,Total,3072,28338.0
1508050,7,PA,Trairão,Total,Total,Total,726,139775.0
1508084,7,PA,Tucumã,Total,Total,Total,1869,226858.0
1508100,7,PA,Tucuruí,Total,Total,Total,1410,139934.0
1508126,7,PA,Ulianópolis,Total,Total,Total,1246,330144.0
1508159,7,PA,Uruará,Total,Total,Total,3993,548567.0
1508209,7,PA,Vigia,Total,Total,Total,945,8247.0
1508308,7,PA,Viseu,Total,Total,Total,4241,231045.0
1508357,7,PA,Vitória do Xingu,Total,Total,Total,1075,180457.0
1508407,7,PA,Xinguara,Total,Total,Total,918,221043.0
1600055,7,AP,Serra do Navio,Total,Total,Total,114,5243.0
1600105,7,AP,Amapá,Total,Total,Total,223,196152.0
1600154,7,AP,Pedra Branca do Amapari,Total,Total,Total,594,33177.0
1600204,7,AP,Calçoene,Total,Total,Total,213,138322.0
1600212,7,AP,Cutias,Total,Total,Total,182,233800.0
1600238,7,AP,Ferreira Gomes,Total,Total,Total,226,136947.0
1600253,7,AP,Itaubal,Total,Total,Total,215,60302.0
1600279,7,AP,Laranjal do Jari,Total,Total,Total,427,30078.0
1600303,7,AP,Macapá,Total,Total,Total,1828,130310.0
1600402,7,AP,Mazagão,Total,Total,Total,1169,88157.0
1600501,7,AP,Oiapoque,Total,Total,Total,1136,28868.0
1600535,7,AP,Porto Grande,Total,Total,Total,739,81200.0
1600550,7,AP,Pracuúba,Total,Total,Total,145,65130.0
1600600,7,AP,Santana,Total,Total,Total,705,36137.0
1600709,7,AP,Tartarugalzinho,Total,Total,Total,327,218396.0
1600808,7,AP,Vitória do Jari,Total,Total,Total,264,24075.0
1700251,7,TO,Abreulândia,Total,Total,Total,388,157433.0
1700301,7,TO,Aguiarnópolis,Total,Total,Total,169,15119.0
1700350,7,TO,Aliança do Tocantins,Total,Total,Total,330,129013.0
1700400,7,TO,Almas,Total,Total,Total,353,161888.0
1700707,7,TO,Alvorada,Total,Total,Total,163,102194.0
1701002,7,TO,Ananás,Total,Total,Total,374,127448.0
1701051,7,TO,Angico,Total,Total,Total,158,33802.0
1701101,7,TO,Aparecida do Rio Negro,Total,Total,Total,278,75818.0
1701309,7,TO,Aragominas,Total,Total,Total,670,74149.0
1701903,7,TO,Araguacema,Total,Total,Total,959,174915.0
1702000,7,TO,Araguaçu,Total,Total,Total,946,574950.0
1702109,7,TO,Araguaína,Total,Total,Total,1055,287777.0
1702158,7,TO,Araguanã,Total,Total,Total,145,48948.0
