cod_ibge,uf,populacao_2024,num_escolas,area_algodão_herbáceo_2024,area_cana_de_açúcar_2024,area_milho_2024,area_soja_2024,estabelecimentos_agro_total,area_agro_total_hectares,num_tratores
5103304,MT,18461.0,14301,72822.0,229.0,310091.0,857533.0,1207.0,516908.0,498.0
5103353,MT,37541.0,29097,,,249802.0,420690.0,2300.0,440014.0,397.0
5103361,MT,3874.0,2973,,,6308.0,78737.0,204.0,101742.0,106.0
5103379,MT,10398.0,7173,,1020.0,23758.0,21900.0,2047.0,541270.0,247.0
5103403,MT,682932.0,465201,,675.0,2444.0,8314.0,1505.0,152213.0,318.0
5103437,MT,4967.0,3243,,21370.0,123.0,,466.0,29078.0,87.0
5103452,MT,6815.0,4968,,456910.0,6169.0,35838.0,541.0,109490.0,241.0
5103502,MT,22479.0,18228,1402007.0,43992.0,1164098.0,2063387.0,795.0,586433.0,1231.0
5103601,MT,7915.0,4608,373951.0,,91800.0,247000.0,567.0,153085.0,390.0
5103700,MT,10564.0,8658,,,656044.0,916391.0,304.0,367142.0,477.0
5103809,MT,3112.0,1932,,,600.0,6029.0,717.0,81384.0,165.0
5103858,MT,9181.0,9558,18286.0,154.0,301875.0,1132400.0,522.0,574927.0,833.0
5103908,MT,6250.0,4665,120185.0,,173558.0,437026.0,359.0,226752.0,329.0
5103957,MT,2899.0,1875,,35018.0,1200.0,,343.0,71456.0,182.0
5104104,MT,31328.0,24852,,30.0,63107.0,162733.0,1453.0,324284.0,525.0
5104203,MT,10532.0,5457,76259.0,38.0,162586.0,486077.0,636.0,290624.0,492.0
5104500,MT,2194.0,1485,,30.0,850.0,,210.0,56155.0,70.0
5104526,MT,8409.0,6606,541770.0,,882503.0,1466463.0,167.0,368525.0,742.0
5104542,MT,8049.0,5379,24874.0,50.0,336561.0,608299.0,1246.0,277115.0,580.0
5104559,MT,5161.0,4158,93759.0,45.0,215516.0,497908.0,238.0,315315.0,321.0
5104609,MT,12519.0,9651,151019.0,44600.0,655985.0,1664843.0,512.0,578863.0,918.0
5104807,MT,29560.0,18795,210946.0,338.0,156063.0,473663.0,634.0,141478.0,419.0
5104906,MT,7447.0,5484,,2100.0,1515.0,28569.0,546.0,92129.0,145.0
5105002,MT,8076.0,5508,,,474.0,,967.0,137193.0,110.0
5105101,MT,35899.0,24702,98116.0,13.0,274731.0,735011.0,1689.0,1521652.0,1191.0
