municipality_code,administrative_dependency,rural_high_school_enrollments
2515930,federal,0
2515971,federal,0
2516003,federal,0
2516102,federal,0
2516151,federal,0
2516201,federal,0
2516300,federal,0
2516409,federal,0
2516508,federal,0
2516607,federal,0
2516706,federal,0
2516755,federal,0
2516805,federal,0
2516904,federal,0
2517001,federal,0
2517100,federal,0
2517209,federal,0
2505501,federal,0
2517407,federal,0
2600054,federal,0
2600104,federal,324
2600203,federal,0
2600302,federal,0
2600401,federal,0
2600500,federal,0
2600609,federal,0
2600708,federal,0
2600807,federal,0
2600906,federal,0
2601003,federal,0
2601052,federal,0
2601102,federal,0
2601201,federal,0
2601300,federal,0
2601409,federal,356
2601508,federal,0
2601607,federal,0
2601706,federal,0
2601805,federal,0
2601904,federal,0
2602001,federal,0
2602100,federal,0
2602209,federal,0
2602308,federal,0
2602407,federal,0
2602506,federal,0
2602605,federal,0
2602704,federal,0
2602803,federal,0
2602902,federal,0
2603009,federal,0
2603108,federal,0
2603207,federal,0
2603306,federal,0
2603405,federal,0
2603454,federal,0
2603504,federal,0
2603603,federal,0
2603702,federal,0
2603801,federal,0
2603900,federal,0
2603926,federal,0
2604007,federal,0
2604106,federal,0
2604155,federal,0
2604205,federal,0
2604304,federal,0
2604403,federal,0
2604502,federal,0
2604601,federal,0
2604700,federal,0
2604809,federal,0
2604908,federal,0
2605004,federal,0
2605103,federal,0
2605152,federal,0
2605202,federal,0
2605301,federal,0
2605400,federal,0
2605459,federal,0
2605509,federal,0
2605608,federal,0
2605707,federal,0
2605806,federal,0
2605905,federal,0
2606002,federal,0
2606101,federal,0
2606200,federal,0
2606309,federal,0
2606408,federal,0
2606507,federal,0
2606606,federal,0
2606705,federal,0
2606804,federal,0
2606903,federal,0
2607604,federal,0
2607000,federal,0
