cod_ibge,regiao,uf,municipio,localizacao,dependencia,num_escolas
1502954,Norte ,Pará ,Eldorado do Carajás ,Total,Total Geral,7902
1503002,Norte ,Pará ,Faro ,Total,Total Geral,3489
1503044,Norte ,Pará ,Floresta do Araguaia ,Total,Total Geral,4767
1503077,Norte ,Pará ,Garrafão do Norte ,Total,Total Geral,7163
1503093,Norte ,Pará ,Goianésia do Pará ,Total,Total Geral,7754
1503101,Norte ,Pará ,Gurupá ,Total,Total Geral,16713
1503200,Norte ,Pará ,Igarapé-Açu ,Total,Total Geral,9478
1503309,Norte ,Pará ,Igarapé-Miri ,Total,Total Geral,18658
1503408,Norte ,Pará ,Inhangapi ,Total,Total Geral,2281
1503457,Norte ,Pará ,Ipixuna do Pará ,Total,Total Geral,11178
1503507,Norte ,Pará ,Irituia ,Total,Total Geral,7696
1503606,Norte ,Pará ,Itaituba ,Total,Total Geral,35362
1503705,Norte ,Pará ,Itupiranga ,Total,Total Geral,12164
1503754,Norte ,Pará ,Jacareacanga ,Total,Total Geral,8310
1503804,Norte ,Pará ,Jacundá ,Total,Total Geral,10325
1503903,Norte ,Pará ,Juruti ,Total,Total Geral,18510
1504000,Norte ,Pará ,Limoeiro do Ajuru ,Total,Total Geral,8120
1504059,Norte ,Pará ,Mãe do Rio ,Total,Total Geral,9127
1504109,Norte ,Pará ,Magalhães Barata ,Total,Total Geral,2274
1504208,Norte ,Pará ,Marabá ,Total,Total Geral,73568
1504307,Norte ,Pará ,Maracanã ,Total,Total Geral,7602
1504406,Norte ,Pará ,Marapanim ,Total,Total Geral,6082
1504422,Norte ,Pará ,Marituba ,Total,Total Geral,30405
1504455,Norte ,Pará ,Medicilândia ,Total,Total Geral,6802
1504505,Norte ,Pará ,Melgaço ,Total,Total Geral,11290
1504604,Norte ,Pará ,Mocajuba ,Total,Total Geral,9620
1504703,Norte ,Pará ,Moju ,Total,Total Geral,23996
1504752,Norte ,Pará ,Mojuí dos Campos ,Total,Total Geral,5327
1504802,Norte ,Pará ,Monte Alegre ,Total,Total Geral,17526
1504901,Norte ,Pará ,Muaná ,Total,Total Geral,10475
1504950,Norte ,Pará ,Nova Esperança do Piriá ,Total,Total Geral,5790
1504976,Norte ,Pará ,Nova Ipixuna ,Total,Total Geral,3236
1505007,Norte ,Pará ,Nova Timboteua ,Total,Total Geral,2811
1505031,Norte ,Pará ,Novo Progresso ,Total,Total Geral,10808
1505064,Norte ,Pará ,Novo Repartimento ,Total,Total Geral,17630
1505106,Norte ,Pará ,Óbidos ,Total,Total Geral,14941
1505205,Norte ,Pará ,Oeiras do Pará ,Total,Total Geral,11712
1505304,Norte ,Pará ,Oriximiná ,Total,Total Geral,21585
1505403,Norte ,Pará ,Ourém ,Total,Total Geral,5004
1505437,Norte ,Pará ,Ourilândia do Norte ,Total,Total Geral,9554
1505486,Norte ,Pará ,Pacajá ,Total,Total Geral,12713
1505494,Norte ,Pará ,Palestina do Pará ,Total,Total Geral,1780
1505502,Norte ,Pará ,Paragominas ,Total,Total Geral,30254
1505536,Norte ,Pará ,Parauapebas ,Total,Total Geral,75076
1505551,Norte ,Pará ,Pau D'Arco ,Total,Total Geral,2135
1505601,Norte ,Pará ,Peixe-Boi ,Total,Total Geral,2792
1505635,Norte ,Pará ,Piçarra ,Total,Total Geral,4115
1505650,Norte ,Pará ,Placas ,Total,Total Geral,7424
1505700,Norte ,Pará ,Ponta de Pedras ,Total,Total Geral,7235
1505809,Norte ,Pará ,Portel ,Total,Total Geral,23843
1505908,Norte ,Pará ,Porto de Moz ,Total,Total Geral,17433
1506005,Norte ,Pará ,Prainha ,Total,Total Geral,11616
1506104,Norte ,Pará ,Primavera ,Total,Total Geral,3033
1506112,Norte ,Pará ,Quatipuru ,Total,Total Geral,2738
1506138,Norte ,Pará ,Redenção ,Total,Total Geral,22814
1506161,Norte ,Pará ,Rio Maria ,Total,Total Geral,3822
1506187,Norte ,Pará ,Rondon do Pará ,Total,Total Geral,8294
1506195,Norte ,Pará ,Rurópolis ,Total,Total Geral,7239
1506203,Norte ,Pará ,Salinópolis ,Total,Total Geral,11584
1506302,Norte ,Pará ,Salvaterra ,Total,Total Geral,6924
1506351,Norte ,Pará ,Santa Bárbara do Pará ,Total,Total Geral,5408
1506401,Norte ,Pará ,Santa Cruz do Arari ,Total,Total Geral,2210
1506500,Norte ,Pará ,Santa Izabel do Pará ,Total,Total Geral,16869
1506559,Norte ,Pará ,Santa Luzia do Pará ,Total,Total Geral,5194
1506583,Norte ,Pará ,Santa Maria das Barreiras ,Total,Total Geral,4872
1506609,Norte ,Pará ,Santa Maria do Pará ,Total,Total Geral,6243
1506708,Norte ,Pará ,Santana do Araguaia ,Total,Total Geral,17595
1506807,Norte ,Pará ,Santarém ,Total,Total Geral,100308
1506906,Norte ,Pará ,Santarém Novo ,Total,Total Geral,1678
1507003,Norte ,Pará ,Santo Antônio do Tauá ,Total,Total Geral,7842
1507102,Norte ,Pará ,São Caetano de Odivelas ,Total,Total Geral,4335
1507151,Norte ,Pará ,São Domingos do Araguaia ,Total,Total Geral,5626
1507201,Norte ,Pará ,São Domingos do Capim ,Total,Total Geral,9860
1507300,Norte ,Pará ,São Félix do Xingu ,Total,Total Geral,18112
1507409,Norte ,Pará ,São Francisco do Pará ,Total,Total Geral,3480
1507458,Norte ,Pará ,São Geraldo do Araguaia ,Total,Total Geral,6785
1507466,Norte ,Pará ,São João da Ponta ,Total,Total Geral,1491
1507474,Norte ,Pará ,São João de Pirabas ,Total,Total Geral,4717
1507508,Norte ,Pará ,São João do Araguaia ,Total,Total Geral,3849
1507607,Norte ,Pará ,São Miguel do Guamá ,Total,Total Geral,16690
1507706,Norte ,Pará ,São Sebastião da Boa Vista ,Total,Total Geral,7974
1507755,Norte ,Pará ,Sapucaia ,Total,Total Geral,1870
1507805,Norte ,Pará ,Senador José Porfírio ,Total,Total Geral,6710
1507904,Norte ,Pará ,Soure ,Total,Total Geral,6891
1507953,Norte ,Pará ,Tailândia ,Total,Total Geral,23059
1507961,Norte ,Pará ,Terra Alta ,Total,Total Geral,2853
1507979,Norte ,Pará ,Terra Santa ,Total,Total Geral,5350
1508001,Norte ,Pará ,Tomé-Açu ,Total,Total Geral,23946
1508035,Norte ,Pará ,Tracuateua ,Total,Total Geral,7368
1508050,Norte ,Pará ,Trairão ,Total,Total Geral,4183
1508084,Norte ,Pará ,Tucumã ,Total,Total Geral,10152
1508100,Norte ,Pará ,Tucuruí ,Total,Total Geral,27723
1508126,Norte ,Pará ,Ulianópolis ,Total,Total Geral,7569
1508159,Norte ,Pará ,Uruará ,Total,Total Geral,14254
1508209,Norte ,Pará ,Vigia ,Total,Total Geral,13232
1508308,Norte ,Pará ,Viseu ,Total,Total Geral,19296
1508357,Norte ,Pará ,Vitória do Xingu ,Total,Total Geral,5339
1508407,Norte ,Pará ,Xinguara ,Total,Total Geral,13840
1600105,Norte ,Amapá ,Amapá ,Total,Total Geral,2575
1600204,Norte ,Amapá ,Calçoene ,Total,Total Geral,3351
1600212,Norte ,Amapá ,Cutias ,Total,Total Geral,1632
1600238,Norte ,Amapá ,Ferreira Gomes ,Total,Total Geral,2287
1600253,Norte ,Amapá ,Itaubal ,Total,Total Geral,2349
1600279,Norte ,Amapá ,Laranjal do Jari ,Total,Total Geral,12200
1600303,Norte ,Amapá ,Macapá ,Total,Total Geral,119258
1600402,Norte ,Amapá ,Mazagão ,Total,Total Geral,8400
1600501,Norte ,Amapá ,Oiapoque ,Total,Total Geral,9373
1600154,Norte ,Amapá ,Pedra Branca do Amapari ,Total,Total Geral,4173
1600535,Norte ,Amapá ,Porto Grande ,Total,Total Geral,5715
1600550,Norte ,Amapá ,Pracuúba ,Total,Total Geral,1385
1600600,Norte ,Amapá ,Santana ,Total,Total Geral,31392
1600055,Norte ,Amapá ,Serra do Navio ,Total,Total Geral,1046
1600709,Norte ,Amapá ,Tartarugalzinho ,Total,Total Geral,4835
1600808,Norte ,Amapá ,Vitória do Jari ,Total,Total Geral,3741
1700251,Norte ,Tocantins ,Abreulândia ,Total,Total Geral,648
1700301,Norte ,Tocantins ,Aguiarnópolis ,Total,Total Geral,1222
1700350,Norte ,Tocantins ,Aliança do Tocantins ,Total,Total Geral,1268
1700400,Norte ,Tocantins ,Almas ,Total,Total Geral,1948
1700707,Norte ,Tocantins ,Alvorada ,Total,Total Geral,2258
1701002,Norte ,Tocantins ,Ananás ,Total,Total Geral,2399
1701051,Norte ,Tocantins ,Angico ,Total,Total Geral,746
1701101,Norte ,Tocantins ,Aparecida do Rio Negro ,Total,Total Geral,1288
1701309,Norte ,Tocantins ,Aragominas ,Total,Total Geral,1175
1701903,Norte ,Tocantins ,Araguacema ,Total,Total Geral,1448
1702000,Norte ,Tocantins ,Araguaçu ,Total,Total Geral,1695
1702109,Norte ,Tocantins ,Araguaína ,Total,Total Geral,47372
1702158,Norte ,Tocantins ,Araguanã ,Total,Total Geral,1128
1702208,Norte ,Tocantins ,Araguatins ,Total,Total Geral,7884
1702307,Norte ,Tocantins ,Arapoema ,Total,Total Geral,1352
1702406,Norte ,Tocantins ,Arraias ,Total,Total Geral,2369
1702554,Norte ,Tocantins ,Augustinópolis ,Total,Total Geral,4979
1702703,Norte ,Tocantins ,Aurora do Tocantins ,Total,Total Geral,581
1702901,Norte ,Tocantins ,Axixá do Tocantins ,Total,Total Geral,3062
1703008,Norte ,Tocantins ,Babaçulândia ,Total,Total Geral,1613
1703057,Norte ,Tocantins ,Bandeirantes do Tocantins ,Total,Total Geral,804
1703073,Norte ,Tocantins ,Barra do Ouro ,Total,Total Geral,1219
1703107,Norte ,Tocantins ,Barrolândia ,Total,Total Geral,1202
1703206,Norte ,Tocantins ,Bernardo Sayão ,Total,Total Geral,1121
1703305,Norte ,Tocantins ,Bom Jesus do Tocantins ,Total,Total Geral,1052
1703602,Norte ,Tocantins ,Brasilândia do Tocantins ,Total,Total Geral,502
1703701,Norte ,Tocantins ,Brejinho de Nazaré ,Total,Total Geral,1084
1703800,Norte ,Tocantins ,Buriti do Tocantins ,Total,Total Geral,2400
1703826,Norte ,Tocantins ,Cachoeirinha ,Total,Total Geral,487
1703842,Norte ,Tocantins ,Campos Lindos ,Total,Total Geral,2664
1703867,Norte ,Tocantins ,Cariri do Tocantins ,Total,Total Geral,868
1703883,Norte ,Tocantins ,Carmolândia ,Total,Total Geral,670
1703891,Norte ,Tocantins ,Carrasco Bonito ,Total,Total Geral,878
1703909,Norte ,Tocantins ,Caseara ,Total,Total Geral,1311
1704105,Norte ,Tocantins ,Centenário ,Total,Total Geral,465
1705102,Norte ,Tocantins ,Chapada da Natividade ,Total,Total Geral,709
1704600,Norte ,Tocantins ,Chapada de Areia ,Total,Total Geral,282
1705508,Norte ,Tocantins ,Colinas do Tocantins ,Total,Total Geral,9571
1716703,Norte ,Tocantins ,Colméia ,Total,Total Geral,1740
1705557,Norte ,Tocantins ,Combinado ,Total,Total Geral,1046
1705607,Norte ,Tocantins ,Conceição do Tocantins ,Total,Total Geral,1077
1706001,Norte ,Tocantins ,Couto Magalhães ,Total,Total Geral,1357
1706100,Norte ,Tocantins ,Cristalândia ,Total,Total Geral,1431
1706258,Norte ,Tocantins ,Crixás do Tocantins ,Total,Total Geral,374
1706506,Norte ,Tocantins ,Darcinópolis ,Total,Total Geral,1547
1707009,Norte ,Tocantins ,Dianópolis ,Total,Total Geral,5029
1707108,Norte ,Tocantins ,Divinópolis do Tocantins ,Total,Total Geral,1603
1707207,Norte ,Tocantins ,Dois Irmãos do Tocantins ,Total,Total Geral,1300
1707306,Norte ,Tocantins ,Dueré ,Total,Total Geral,928
1707405,Norte ,Tocantins ,Esperantina ,Total,Total Geral,2416
1707553,Norte ,Tocantins ,Fátima ,Total,Total Geral,927
1707652,Norte ,Tocantins ,Figueirópolis ,Total,Total Geral,1053
1707702,Norte ,Tocantins ,Filadélfia ,Total,Total Geral,1636
1708205,Norte ,Tocantins ,Formoso do Araguaia ,Total,Total Geral,4446
1708304,Norte ,Tocantins ,Goianorte ,Total,Total Geral,1235
1709005,Norte ,Tocantins ,Goiatins ,Total,Total Geral,3974
1709302,Norte ,Tocantins ,Guaraí ,Total,Total Geral,5797
1709500,Norte ,Tocantins ,Gurupi ,Total,Total Geral,19899
1709807,Norte ,Tocantins ,Ipueiras ,Total,Total Geral,391
1710508,Norte ,Tocantins ,Itacajá ,Total,Total Geral,1984
1710706,Norte ,Tocantins ,Itaguatins ,Total,Total Geral,1191
1710904,Norte ,Tocantins ,Itapiratins ,Total,Total Geral,895
1711100,Norte ,Tocantins ,Itaporã do Tocantins ,Total,Total Geral,559
1711506,Norte ,Tocantins ,Jaú do Tocantins ,Total,Total Geral,749
1711803,Norte ,Tocantins ,Juarina ,Total,Total Geral,609
1711902,Norte ,Tocantins ,Lagoa da Confusão ,Total,Total Geral,4388
1711951,Norte ,Tocantins ,Lagoa do Tocantins ,Total,Total Geral,1082
1712009,Norte ,Tocantins ,Lajeado ,Total,Total Geral,898
1712157,Norte ,Tocantins ,Lavandeira ,Total,Total Geral,394
1712405,Norte ,Tocantins ,Lizarda ,Total,Total Geral,682
1712454,Norte ,Tocantins ,Luzinópolis ,Total,Total Geral,831
1712504,Norte ,Tocantins ,Marianópolis do Tocantins ,Total,Total Geral,1135
1712702,Norte ,Tocantins ,Mateiros ,Total,Total Geral,658
1712801,Norte ,Tocantins ,Maurilândia do Tocantins ,Total,Total Geral,839
1713205,Norte ,Tocantins ,Miracema do Tocantins ,Total,Total Geral,4159
