"Tabela 6873 - Número de estabelecimentos agropecuários e Número de tratores, implementos e máquinas existentes nos estabelecimentos agropecuários, por tipologia, tratores, implementos e máquinas existentes no estabelecimento agropecuário, condição do produtor em relação às terras e grupos de atividade econômica - Ranking ascendente"
"Variável - Número de estabelecimentos agropecuários (Unidades)"
"Cód.";"Brasil, Grande Região e Município";"Condição do produtor em relação às terras";"#";"Grupos de atividade econômica";"Ano x Tipologia x Tratores, implementos e máquinas existentes no estabelecimento agropecuário"
"Cód.";"Brasil, Grande Região e Município";"Condição do produtor em relação às terras";"#";"Grupos de atividade econômica";"2017"
"Cód.";"Brasil, Grande Região e Município";"Condição do produtor em relação às terras";"#";"Grupos de atividade econômica";"Total"
"Cód.";"Brasil, Grande Região e Município";"Condição do produtor em relação às terras";"#";"Grupos de atividade econômica";"Tratores"
"1501782";"Breu Branco (PA)";"Total";"1";"Total";"159"
"1501808";"Breves (PA)";"Total";"1";"Total";"-"
"1501907";"Bujaru (PA)";"Total";"1";"Total";"40"
"1501956";"Cachoeira do Piriá (PA)";"Total";"1";"Total";"32"
"1502004";"Cachoeira do Arari (PA)";"Total";"1";"Total";"7"
"1502103";"Cametá (PA)";"Total";"1";"Total";"62"
"1502152";"Canaã dos Carajás (PA)";"Total";"1";"Total";"85"
"1502202";"Capanema (PA)";"Total";"1";"Total";"32"
"1502301";"Capitão Poço (PA)";"Total";"1";"Total";"237"
"1502400";"Castanhal (PA)";"Total";"1";"Total";"159"
"1502509";"Chaves (PA)";"Total";"1";"Total";"19"
"1502608";"Colares (PA)";"Total";"1";"Total";"3"
"1502707";"Conceição do Araguaia (PA)";"Total";"1";"Total";"232"
"1502756";"Concórdia do Pará (PA)";"Total";"1";"Total";"49"
"1502764";"Cumaru do Norte (PA)";"Total";"1";"Total";"151"
"1502772";"Curionópolis (PA)";"Total";"1";"Total";"64"
"1502806";"Curralinho (PA)";"Total";"1";"Total";"-"
"1502855";"Curuá (PA)";"Total";"1";"Total";"7"
"1502905";"Curuçá (PA)";"Total";"1";"Total";"22"
"1502939";"Dom Eliseu (PA)";"Total";"1";"Total";"136"
"1502954";"Eldorado do Carajás (PA)";"Total";"1";"Total";"120"
"1503002";"Faro (PA)";"Total";"1";"Total";"-"
"1503044";"Floresta do Araguaia (PA)";"Total";"1";"Total";"106"
"1503077";"Garrafão do Norte (PA)";"Total";"1";"Total";"84"
"1503093";"Goianésia do Pará (PA)";"Total";"1";"Total";"173"
"1503101";"Gurupá (PA)";"Total";"1";"Total";"1"
"1503200";"Igarapé-Açu (PA)";"Total";"1";"Total";"177"
"1503309";"Igarapé-Miri (PA)";"Total";"1";"Total";"15"
"1503408";"Inhangapi (PA)";"Total";"1";"Total";"32"
"1503457";"Ipixuna do Pará (PA)";"Total";"1";"Total";"140"
"1503507";"Irituia (PA)";"Total";"1";"Total";"66"
"1503606";"Itaituba (PA)";"Total";"1";"Total";"147"
"1503705";"Itupiranga (PA)";"Total";"1";"Total";"189"
"1503754";"Jacareacanga (PA)";"Total";"1";"Total";"130"
"1503804";"Jacundá (PA)";"Total";"1";"Total";"52"
"1503903";"Juruti (PA)";"Total";"1";"Total";"9"
"1504000";"Limoeiro do Ajuru (PA)";"Total";"1";"Total";"1"
"1504059";"Mãe do Rio (PA)";"Total";"1";"Total";"38"
"1504109";"Magalhães Barata (PA)";"Total";"1";"Total";"8"
"1504208";"Marabá (PA)";"Total";"1";"Total";"343"
"1504307";"Maracanã (PA)";"Total";"1";"Total";"35"
"1504406";"Marapanim (PA)";"Total";"1";"Total";"15"
"1504422";"Marituba (PA)";"Total";"1";"Total";"-"
"1504455";"Medicilândia (PA)";"Total";"1";"Total";"237"
"1504505";"Melgaço (PA)";"Total";"1";"Total";"2"
"1504604";"Mocajuba (PA)";"Total";"1";"Total";"23"
"1504703";"Moju (PA)";"Total";"1";"Total";"239"
"1504752";"Mojuí dos Campos (PA)";"Total";"1";"Total";"76"
"1504802";"Monte Alegre (PA)";"Total";"1";"Total";"73"
"1504901";"Muaná (PA)";"Total";"1";"Total";"7"
"1504950";"Nova Esperança do Piriá (PA)";"Total";"1";"Total";"90"
"1504976";"Nova Ipixuna (PA)";"Total";"1";"Total";"105"
"1505007";"Nova Timboteua (PA)";"Total";"1";"Total";"65"
"1505031";"Novo Progresso (PA)";"Total";"1";"Total";"550"
"1505064";"Novo Repartimento (PA)";"Total";"1";"Total";"203"
"1505106";"Óbidos (PA)";"Total";"1";"Total";"34"
"1505205";"Oeiras do Pará (PA)";"Total";"1";"Total";"17"
"1505304";"Oriximiná (PA)";"Total";"1";"Total";"21"
"1505403";"Ourém (PA)";"Total";"1";"Total";"29"
"1505437";"Ourilândia do Norte (PA)";"Total";"1";"Total";"104"
"1505486";"Pacajá (PA)";"Total";"1";"Total";"110"
"1505494";"Palestina do Pará (PA)";"Total";"1";"Total";"28"
"1505502";"Paragominas (PA)";"Total";"1";"Total";"245"
"1505536";"Parauapebas (PA)";"Total";"1";"Total";"70"
"1505551";"Pau D'Arco (PA)";"Total";"1";"Total";"27"
"1505601";"Peixe-Boi (PA)";"Total";"1";"Total";"26"
"1505635";"Piçarra (PA)";"Total";"1";"Total";"102"
"1505650";"Placas (PA)";"Total";"1";"Total";"131"
"1505700";"Ponta de Pedras (PA)";"Total";"1";"Total";"10"
"1505809";"Portel (PA)";"Total";"1";"Total";"14"
"1505908";"Porto de Moz (PA)";"Total";"1";"Total";"17"
"1506005";"Prainha (PA)";"Total";"1";"Total";"17"
"1506104";"Primavera (PA)";"Total";"1";"Total";"2"
"1506112";"Quatipuru (PA)";"Total";"1";"Total";"2"
"1506138";"Redenção (PA)";"Total";"1";"Total";"157"
"1506161";"Rio Maria (PA)";"Total";"1";"Total";"187"
"1506187";"Rondon do Pará (PA)";"Total";"1";"Total";"165"
"1506195";"Rurópolis (PA)";"Total";"1";"Total";"118"
"1506203";"Salinópolis (PA)";"Total";"1";"Total";"1"
"1506302";"Salvaterra (PA)";"Total";"1";"Total";"10"
"1506351";"Santa Bárbara do Pará (PA)";"Total";"1";"Total";"4"
"1506401";"Santa Cruz do Arari (PA)";"Total";"1";"Total";"6"
"1506500";"Santa Izabel do Pará (PA)";"Total";"1";"Total";"129"
"1506559";"Santa Luzia do Pará (PA)";"Total";"1";"Total";"35"
"1506583";"Santa Maria das Barreiras (PA)";"Total";"1";"Total";"272"
"1506609";"Santa Maria do Pará (PA)";"Total";"1";"Total";"112"
"1506708";"Santana do Araguaia (PA)";"Total";"1";"Total";"290"
"1506807";"Santarém (PA)";"Total";"1";"Total";"112"
"1506906";"Santarém Novo (PA)";"Total";"1";"Total";"12"
"1507003";"Santo Antônio do Tauá (PA)";"Total";"1";"Total";"67"
"1507102";"São Caetano de Odivelas (PA)";"Total";"1";"Total";"26"
"1507151";"São Domingos do Araguaia (PA)";"Total";"1";"Total";"94"
"1507201";"São Domingos do Capim (PA)";"Total";"1";"Total";"67"
"1507300";"São Félix do Xingu (PA)";"Total";"1";"Total";"829"
"1507409";"São Francisco do Pará (PA)";"Total";"1";"Total";"74"
"1507458";"São Geraldo do Araguaia (PA)";"Total";"1";"Total";"140"
"1507466";"São João da Ponta (PA)";"Total";"1";"Total";"13"
"1507474";"São João de Pirabas (PA)";"Total";"1";"Total";"5"
"1507508";"São João do Araguaia (PA)";"Total";"1";"Total";"55"
"1507607";"São Miguel do Guamá (PA)";"Total";"1";"Total";"82"
"1507706";"São Sebastião da Boa Vista (PA)";"Total";"1";"Total";"-"
"1507755";"Sapucaia (PA)";"Total";"1";"Total";"46"
"1507805";"Senador José Porfírio (PA)";"Total";"1";"Total";"22"
"1507904";"Soure (PA)";"Total";"1";"Total";"18"
"1507953";"Tailândia (PA)";"Total";"1";"Total";"150"
"1507961";"Terra Alta (PA)";"Total";"1";"Total";"6"
"1507979";"Terra Santa (PA)";"Total";"1";"Total";"4"
"1508001";"Tomé-Açu (PA)";"Total";"1";"Total";"344"
"1508035";"Tracuateua (PA)";"Total";"1";"Total";"87"
"1508050";"Trairão (PA)";"Total";"1";"Total";"43"
"1508084";"Tucumã (PA)";"Total";"1";"Total";"270"
"1508100";"Tucuruí (PA)";"Total";"1";"Total";"45"
"1508126";"Ulianópolis (PA)";"Total";"1";"Total";"137"
"1508159";"Uruará (PA)";"Total";"1";"Total";"173"
"1508209";"Vigia (PA)";"Total";"1";"Total";"19"
